First_Author,Article_ID,Participant,Modality,Stimuli,Task,Phase_1,Phase_2,Control_conditions,Contrast,Freq
W. Yang,Wade-Bohleber_2019_Behav Brain Res,Switzerland,visual,traits,trait_judgment/directed_forgetting,rating,NA,celebrity,celebrity,1
Wade-Bohleber,Wang_2012_Soc Cogn Affect Neurosci,China,visual,pictures,arousal_ valence_rating,judgment,retrieval_out_scanner,close/nonPerson,multi,1
Wang,Wang_2016_Front Psychol,China,visual,traits,trait_judgmnet,judgment,NA,close/celebrity/nonPerson,multi,1
Wang,Wu_2010_SCAN,China_Han/Tibetan,visual,traits,trait_judgment,judgment,retrieval_out_scanner,celebrity,celebrity,1
Wu,Y. Zhu_2007_Neuroimage,China,visual,traits,trait_judgmnet,judgment,retrievalRK_out_scanner,close/celebrity,multi,1
Y. Zhu,Yamawaki_2017_Hum Brain Mapp,Japanese,visual,traits,trait_judgmnet,rating,retrievalRK_out_scanner,close/stranger/nonPerson,multi,1
Yamawaki,Yang_2012_Neuropsychologia,China,visual,pictures,friendship_judgment,judgment,NA,close,close,1
Yang,Yang_2013_PLoS One,China,visual,statements,trait_judgmnet,judgment,retrieval_out_scanner,close/nonPerson,multi,1
Yang,Yang_2016_Nature,China,visual,traits,trait_judgment,rating,NA,celebrity,celebrity,1
Yaoi,Yaoi_2015_Front Hum Neurosci,Japan,visual,colored circle,working_memory_ location,rating,retrieval_in_scanner,celebrity,celebrity,1
Yin,Yin_2021_J Neurosci,China,visual,traits,trait_judgmnet,judgment,NA,stranger,stranger,1
Yoshimura,Yoshimura_2009_Brain Cogn,Japan,visual,traits,trait_judgmnet,judgment,retrieval_out_scanner,celebrity/nonPerson,multi,1
Zeng,Zeng_2021_Journal Pers,China,visual,statements,trait_judgmnet,rating,NA,nonPerson,NP,1
Zhang,Zhang_2006_Sci China Life Sci_exp1,China,visual,traits,trait_judgmnet,judgment,retrievalRK_out_scanner,celebrity/nonPerson,multi,1
Zhang,Zhang_2006_Sci China Life Sci_exp2,China,visual,traits,trait_judgmnet,judgment,retrievalRK_out_scanner,close/nonPerson,multi,1
Zhang,Zhang_2015_Neurolmage,Netherlands,visual,statements,trait_judgment,judgment,NA,nonPerson,NP,1
